year,country_destination_id,import_val
2004,ROU,2265906.43
2004,RUS,189623168.7
2004,SVK,4195331.03
2004,SVN,1221886.92
2004,SWE,3642862.87
2004,UKR,69792413.43
2004,YUG,657173.28
2004,BHS,601143.33
2004,CAN,4166570.87
2004,CUB,1815647.12
2004,DMA,2185250.71
2004,DOM,2036694.9
2004,MEX,162031
2004,PAN,50534022.56
2004,USA,103520769.1
2004,VGB,9035767.67
2004,AUS,3464231.24
2004,NZL,478135.26
2004,ARG,2221176.44
2004,BRA,9543840.67
2004,PRY,142705.57
2004,URY,2006308.17
2004,XXA,973427.25
2005,EGY,185382.37
2005,ETH,4457
2005,GHA,234024.37
2005,KEN,32110
2005,LBR,8629
2005,MWI,94526
2005,SEN,14635
2005,STP,7865
2005,SYC,8249
2005,TZA,8282.79
2005,UGA,32909
2005,ZAF,1122548.18
2005,ZMB,8256.55
2005,ARE,87935563.19
2005,CHN,35938365.55
2005,CYP,10511724.51
2005,GEO,44449602.13
2005,HKG,1886584.46
2005,IDN,964647.72
2005,IND,12097011.76
2005,IRN,125488560.1
2005,ISR,102618733.4
2005,JOR,340224.14
2005,JPN,3033976.23
2005,KAZ,43297048.01
2005,KGZ,958339.92
2005,KOR,5933792.32
2005,LBN,10578384.35
2005,LKA,554315.48
2005,MYS,1325474.14
2005,NPL,2351.73
2005,OMN,41823
2005,PAK,664557.26
2005,QAT,5467
2005,SAU,433815
2005,SGP,1285182.04
2005,SYR,2175922.13
2005,THA,896868.98
2005,TKM,1075611.07
2005,TUR,52429633.35
2005,UZB,1336443.38
2005,VNM,1481832.54
2005,XXB,988245
2005,AND,15451
2005,AUT,8718060.11
2005,BGR,14699122.99
2005,BIH,394693
2005,BLR,13371385.33
2005,BLX,185702543.8
2005,CHE,84957944.52
2005,CZE,10344197.29
2005,DEU,127382241.4
2005,DNK,3905500.12
2005,ESP,9211255.8
2005,EST,1091683.64
2005,FIN,5585769.94
2005,FRA,52605807.25
2005,GBR,80842099.51
2005,GIB,510534.76
2005,GRC,41463630.28
2005,HRV,409591.68
2005,HUN,6622228.01
2005,IRL,1100569.06
2005,ISL,198838.29
2005,ITA,66483568.04
2005,LTU,2197633.5
2005,LVA,1879509.57
2005,MDA,2414077.32
2005,MKD,194551.89
2005,MLT,214909.12
2005,NLD,13588135.16
2005,NOR,167511.87
2005,POL,6362360.45
2005,PRT,442378.57
2005,ROU,5053309.66
2005,RUS,268264380
2005,SRB,920494
2005,SVK,4922752.93
2005,SVN,2971360.19
2005,SWE,2371532.36
2005,UKR,96122797.73
2005,YUG,390651.44
2005,BHS,2121523.8
2005,BLZ,115785
2005,CAN,5673319.85
2005,CUB,2190839.66
2005,CYM,72533.57
2005,DMA,2551814.25
2005,DOM,227586.28
2005,KNA,175323
2005,MEX,68262
2005,PAN,65696915.5
2005,SLV,8278
2005,USA,108096284.4
2005,VGB,38534758.72
2005,AUS,9533037.35
2005,NZL,6000762.78
2005,ARG,2322596.72
2005,BRA,7412251.55
2005,CHL,91939.16
2005,COL,15812
2005,ECU,288052.73
2005,PER,33594
2005,PRY,336401.82
2005,URY,2020933.47
2005,VEN,2855.66
2005,XXA,930133.46
2006,CIV,1558210.6
2006,CMR,58066.35
2006,EGY,2735580.3
2006,ERI,1707
2006,ETH,233021.95
2006,GHA,1497194.67
2006,GIN,36706
2006,KEN,41015.36
2006,MAR,49507.33
2006,MWI,236488.56
2006,SEN,81788
2006,SLE,48432
2006,SYC,78264
2006,TGO,1155.57
2006,TUN,68691
2006,TZA,48008.64
2006,UGA,3765.06
2006,ZAF,3561542.65
2006,ARE,18574751.02
2006,BGD,78613
2006,CHN,113820886.3
2006,CYP,911723.34
2006,GEO,78953643.74
2006,HKG,1895654.57
2006,IDN,14107690.74
2006,IND,23352877.21
2006,IRN,141365816.7
2006,ISR,87607786.54
2006,JOR,79668.88
2006,JPN,18334658.89
2006,KAZ,15137952.67
2006,KGZ,16509.55
2006,KHM,64187
2006,KOR,21631817.65
2006,KWT,50130.87
2006,LBN,6473358.39
2006,LKA,716390.59
2006,MNG,2500
2006,MYS,8847310.16
2006,NPL,16214.96
2006,OMN,96796.11
2006,PAK,3473963.35
2006,PHL,422992.42
2006,QAT,58279.06
2006,SAU,933513.21
2006,SGP,1968723.39
2006,SYR,5171763.21
2006,THA,6076968.11
2006,TKM,153423236
2006,TUR,92380195.03
2006,UZB,1814070.62
2006,VNM,4618041.09
2006,XXB,4040691.55
2006,AUT,58420166.96
2006,BGR,35632843.09
2006,BIH,1471
2006,BLR,20156453.95
2006,BLX,114505972.7
2006,CHE,22174143.92
2006,CZE,11299558.16
2006,DEU,105586258.8
2006,DNK,3289899.11
2006,ESP,13535444.29
2006,EST,2393896.58
2006,FIN,5984543.69
2006,FRA,72625792.78
2006,GBR,25448418.11
2006,GIB,55399
2006,GRC,52524882.06
2006,HRV,328434.06
2006,HUN,8139741.13
2006,IRL,2376849.95
2006,ISL,442150.19
2006,ITA,105902815.1
2006,LTU,1441725
2006,LVA,1460856.85
2006,MDA,2758238.31
2006,MKD,175045.88
2006,NLD,15881496.51
2006,NOR,566884.81
2006,POL,11283369.23
2006,PRT,696373.38
2006,ROU,74974566.17
2006,RUS,322566588.1
2006,SRB,783245.88
2006,SVK,5519464.86
2006,SVN,4240151.32
2006,SWE,6213573.48
2006,UKR,149707856.3
2006,AIA,7723.45
2006,BHS,6014.14
2006,BLZ,11868.21
2006,CAN,11305395.18
2006,CRI,764881.5
2006,CUB,230405.46
2006,DMA,75074
2006,DOM,27878.87
2006,GTM,28965.13
2006,HND,12796.51
2006,MEX,807734.56
2006,NIC,5083.54
2006,PAN,92804
2006,SLV,72326.24
2006,TTO,79794
2006,USA,106167963.4
2006,VGB,17389.18
2006,AUS,1971167.79
2006,NZL,1767144.16
2006,PNG,5503.6
2006,ARG,3966835.72
2006,BRA,17247849.58
2006,CHL,525179.96
2006,COL,135773.4
2006,ECU,3349857.61
2006,PER,30202.14
2006,URY,101932
2006,XXA,497265.12
2007,BDI,5675.9
2007,CIV,2913949.28
2007,CMR,223275.8
2007,COG,15170.9
2007,DZA,204020.1
2007,EGY,4675679.57
2007,ERI,3420
2007,ETH,338951.41
2007,GHA,2328552.12
2007,KEN,37230.31
2007,MAR,61273.27
2007,MDG,49431.4
2007,MRT,24154.27
2007,MUS,2764.01
2007,MWI,212121.98
2007,NGA,63570
2007,RWA,1255
2007,SEN,31683
2007,SOM,21380.38
2007,TGO,1757.54
2007,TUN,132629
2007,TZA,119996.66
2007,UGA,35235.66
2007,ZAF,5830647.51
2007,ARE,89795258.53
2007,BGD,98225
2007,BHR,457472.86
2007,CHN,188018480.7
2007,CYP,4595783.02
2007,GEO,103460881.4
2007,HKG,2855768.75
2007,IDN,16430334.54
2007,IND,22569171.36
2007,IRN,125369891.2
2007,IRQ,1629.38
2007,ISR,34267211.06
2007,JOR,95892.66
2007,JPN,47367636.2
2007,KAZ,214444150.7
2007,KGZ,2859
2007,KHM,109046
2007,KOR,56669676.54
2007,KWT,321201.19
2007,LBN,11299623.89
2007,LKA,4542361.22
2007,MAC,1051
2007,MNG,16969
2007,MYS,9143129.81
2007,NPL,12615.13
2007,OMN,79656.39
2007,PAK,5345060.23
2007,PHL,1012848.23
2007,PRK,48930
